Symbol,Name,Sector,Industry,Full_Time_Employees,Total_ESG_Risk_score,Environment_Risk_Score,Governance_Risk_Score,Social_Risk_Score,Controversy_Level,Controversy_Score,ESG_Risk_Percentile,ESG_Risk_Level,Controversy_Level_Score,ESG_Cluster,PCA1,PCA2
EMN,Eastman Chemical Company,Basic Materials,Specialty Chemicals,14000.0,25.3,12.8,6.6,5.8,Moderate Controversy Level,2.0,50.0,Medium,2.0,2,-0.7357605448964386,1.0022544146949377
DPZ,Domino's Pizza Inc.,Consumer Cyclical,Restaurants,6500.0,29.2,10.6,6.3,12.2,Moderate Controversy Level,2.0,66.0,Medium,2.0,2,0.36821532166504145,0.9380825152707309
DVA,Davita Inc.,Healthcare,Medical Care Facilities,70000.0,22.6,0.1,8.4,14.1,Moderate Controversy Level,2.0,38.0,Medium,2.0,3,1.2707766969576588,-1.0556592430980998
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,187384.0,27.5,7.9,4.6,15.0,Moderate Controversy Level,2.0,59.0,Medium,2.0,2,0.5050324230635911,0.97744429420401
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,14100.0,18.8,3.2,8.7,6.8,Moderate Controversy Level,2.0,23.0,Low,2.0,3,-0.002521178413427609,-0.8829759754262941
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,18000.0,26.0,3.6,7.9,14.5,Moderate Controversy Level,2.0,53.0,Medium,2.0,1,1.2023925498677752,-0.39985242455763204
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,35000.0,20.1,4.5,4.1,11.4,Moderate Controversy Level,2.0,28.0,Medium,2.0,0,-0.2343858499345589,0.44510448038248923
XYL,Xylem Inc,Industrials,Specialty Industrial Machinery,23000.0,18.1,4.3,5.2,8.7,Low Controversy Level,1.0,21.0,Low,1.0,0,-1.1718941710004722,-0.3546906777908802
XEL,"Xcel Energy, Inc.",Utilities,Utilities - Regulated Electric,11311.0,26.5,12.7,4.5,9.3,Moderate Controversy Level,2.0,55.0,Medium,2.0,2,-0.5835052522458801,1.548030644617508
WYNN,Wynn Resorts Ltd,Consumer Cyclical,Resorts & Casinos,27800.0,25.7,3.4,10.6,11.8,Moderate Controversy Level,2.0,52.0,Medium,2.0,3,1.334276698491736,-1.093091786741879
WTW,Willis Towers Watson Public Limited Companys,Financial Services,Insurance Brokers,48000.0,18.7,0.1,10.8,7.8,Moderate Controversy Level,2.0,23.0,Low,2.0,3,0.6821124192126616,-1.7720847168466909
